年龄段,2020总人口,2020男,2020女
0-4,77883888,40969331,36914557
5-9,90244056,48017458,42226598
10-14,85255994,45606790,39649204
15-19,72684140,39053343,33630797
20-24,74941675,39675995,35265680
25-29,91847332,48162270,43685062
30-34,124145190,63871808,60273382
35-39,99012932,50932037,48080895
40-44,92955330,47632694,45322636
45-49,114224887,58191686,56033201
50-54,121164296,61105470,60058826
55-59,101400786,50816026,50584760
60-64,73382938,36871125,36511813
65-69,74005560,36337923,37667637
70-74,49590036,24162733,25427303
75-79,31238849,14752433,16486416
80+,35800835,15257272,20543563
